layer_height,wall_thickness,infill_density,infill_pattern,nozzle_temperature,bed_temperature,print_speed,material,fan_speed,roughness,tension_strength,elongation,sensor1_raw_mean,sensor1_raw_max,sensor1_raw_min,sensor1_raw_std,sensor2_raw_mean,sensor2_raw_max,sensor2_raw_min,sensor2_raw_std,sensor3_raw_mean,sensor3_raw_max,sensor3_raw_min,sensor3_raw_std,sensor4_raw_mean,sensor4_raw_max,sensor4_raw_min,sensor4_raw_std,sensor5_raw_mean,sensor5_raw_max,sensor5_raw_min,sensor5_raw_std
0.02,8,90,grid,220,60,40,abs,0,25,18,1.2,528.2345083,529,527,0.432110721,536.9036929,538,536,0.298433363,541.8109777,543,541,0.392121328,550.2653496,551,549,0.444331841,546.5082501,547,545,0.500408861
0.02,7,90,honeycomb,225,65,40,abs,25,32,16,1.4,528.4526197,529,528,0.497778091,536.9665352,538,536,0.186016979,541.9366761,543,541,0.245860923,550.5344225,551,550,0.498841786,546.8102535,548,546,0.392696871
0.02,1,80,grid,230,70,40,abs,50,40,8,0.8,528.6000676,529,528,0.489911747,536.9774622,538,536,0.162218798,541.9737435,543,541,0.167479522,550.717602,552,550,0.450441582,546.9048907,548,546,0.294149678
0.02,4,70,honeycomb,240,75,40,abs,75,68,10,0.5,528.7370971,530,528,0.440490851,536.9975208,538,536,0.113321749,542.0001127,543,541,0.11384487,550.8608294,552,550,0.346469417,546.9515438,548,546,0.22043773
0.02,6,90,grid,250,80,40,abs,100,92,5,0.7,528.7977465,529,528,0.401702896,537.0059718,538,536,0.109645017,542.0086761,543,541,0.116447657,550.9099718,552,550,0.287808686,546.9784789,548,546,0.159899628
0.02,10,40,honeycomb,200,60,40,pla,0,60,24,1.1,528.7658064,529,528,0.423517631,537.0034937,538,536,0.115761725,542.0125099,543,541,0.138266433,550.9147977,552,550,0.28120952,546.9758819,548,546,0.167474317
0.02,5,10,grid,205,65,40,pla,25,55,12,1.3,528.6651268,529,528,0.471972724,537.0046197,538,536,0.122336667,542.0127324,543,541,0.133249314,550.9110986,552,550,0.285802743,546.9772394,548,546,0.16629518
0.02,10,10,honeycomb,210,70,40,pla,50,21,14,1.5,528.5739238,529,528,0.494532939,537.003606,538,536,0.112292288,542.0067613,543,541,0.124527427,550.8988055,552,550,0.302722039,546.9798287,548,546,0.155803375
0.02,9,70,grid,215,75,40,pla,75,24,27,1.4,528.6015775,529,528,0.489600887,537.0089014,538,536,0.123019258,542.0183662,543,541,0.152363363,550.92,552,550,0.27296484,546.9917746,548,546,0.132757185
0.02,8,40,honeycomb,220,80,40,pla,100,30,25,1.7,528.6952198,529,528,0.460340285,537.015143,538,536,0.133618291,542.0336761,543,541,0.187771658,550.9664369,552,550,0.187490734,547.0037292,548,546,0.106775935
0.06,6,80,grid,220,60,60,abs,0,75,37,2.4,528.8020362,529,528,0.398487261,537.0202489,538,536,0.14403533,542.049095,543,542,0.21607865,550.9807692,552,550,0.15144616,547.0087104,548,546,0.122356329
0.06,2,20,honeycomb,225,65,60,abs,25,92,12,1.4,528.8545084,530,528,0.353577046,537.0264736,538,536,0.167447317,542.059509,543,541,0.237542833,550.987442,552,550,0.132689409,547.010069,548,546,0.130322358
0.06,10,50,grid,230,70,60,abs,50,118,16,1.3,528.8599864,530,528,0.347346527,537.0274825,538,536,0.166238028,542.059715,543,541,0.23744828,550.9936666,552,550,0.125678941,547.0167383,548,546,0.146413108
0.06,6,10,honeycomb,240,75,60,abs,75,200,9,0.8,528.8443439,530,528,0.363484475,537.0346154,538,536,0.185272826,542.0780543,543,541,0.268693574,550.9996606,552,550,0.113066956,547.0210407,548,546,0.151205296
0.06,3,50,grid,250,80,60,abs,100,220,10,1.0,528.8269231,529,528,0.378335161,537.0316742,538,536,0.17706844,542.0881222,543,541,0.284683255,551.0061086,552,550,0.112400167,547.0328054,548,546,0.180032311
0.06,10,90,honeycomb,200,60,60,pla,0,126,27,2.2,528.8354259,530,528,0.371121667,537.0512385,538,536,0.222030158,542.1153716,543,541,0.320195254,551.012442,552,550,0.127022719,547.0425291,548,546,0.204034269
0.06,3,40,grid,205,65,60,pla,25,145,23,1.9,528.664819,529,528,0.472080402,537.0285068,538,536,0.171117425,542.0859729,543,542,0.280339812,550.9963801,552,550,0.115485156,547.0218326,548,546,0.158046363
0.06,8,30,honeycomb,210,70,60,pla,50,88,26,1.6,528.5182127,529,528,0.499696453,537.0229638,538,536,0.157167753,542.0634615,543,541,0.244268634,550.985181,552,550,0.143910881,547.0106335,548,546,0.130703602
0.06,5,80,grid,215,75,60,pla,75,92,33,2.1,528.6436652,530,528,0.479179028,537.0391403,538,536,0.196834741,542.1050905,543,541,0.307056013,551.0065611,552,550,0.113376955,547.0383484,548,546,0.196127196
0.06,10,50,honeycomb,220,80,60,pla,100,74,29,2.0,528.6604457,530,528,0.488169756,537.0423029,538,536,0.249474269,542.108585,543,541,0.315468193,551.0274856,552,550,0.196208693,547.0630019,548,546,0.254353036
0.1,1,40,grid,220,60,120,abs,0,120,16,1.2,528.6204751,530,528,0.498861018,537.0328054,538,536,0.306154841,542.0989819,543,541,0.302792905,551.0504525,552,550,0.277263426,547.0930995,548,546,0.309808555
0.1,2,30,honeycomb,225,65,120,abs,25,144,12,1.1,530.3729351,550,528,2.64660244,538.0445802,552,536,1.475937104,544.2880742,563,541,2.03106359,552.9768047,570,550,2.160899276,549.4545146,569,546,2.628548941
0.1,1,50,grid,230,70,120,abs,50,265,10,0.9,529.2188914,530,529,0.413518198,537.5825792,538,537,0.493161424,543.8235294,544,543,0.381241605,552.0950226,553,551,0.2936483,548.4069005,549,548,0.491283805
0.1,9,80,honeycomb,240,75,120,abs,75,312,19,0.8,530.605543,548,528,3.757942577,538.2273756,549,537,1.937447381,544.6057692,557,543,2.473552967,553.2236425,569,551,3.121495364,549.4691176,566,548,3.395483732
0.1,2,60,grid,250,80,120,abs,100,368,8,0.4,538.0874434,547,534,2.464762553,541.2920814,546,539,1.225176447,549.046267,556,547,1.678277958,559.395362,568,556,2.091449518,555.524095,565,552,2.379981845
0.1,1,50,honeycomb,200,60,120,pla,0,180,11,1.6,537.9017988,545,533,2.782220599,541.4190519,545,539,1.226814005,549.3140627,555,547,1.7549001,559.4985858,566,556,2.188496027,555.172644,562,552,2.147811985
0.1,4,40,grid,205,65,120,pla,25,176,12,1.2,532.7041855,534,531,0.659071703,539.4584842,540,539,0.49830164,546.4463801,548,545,0.501900919,555.6385747,557,554,0.578125019,551.6986425,553,551,0.527250799
0.1,3,50,honeycomb,210,70,120,pla,50,128,18,1.8,531.3222084,532,530,0.470485598,538.9859713,540,538,0.20905623,545.9103971,547,545,0.295748426,554.947166,556,554,0.273753115,550.9344949,552,550,0.326313129
0.1,4,90,grid,215,75,120,pla,75,138,34,2.9,530.8671946,532,530,0.393706346,538.7837104,540,538,0.439642953,545.4687783,546,545,0.49905248,554.4020362,556,554,0.490798158,550.3770362,551,549,0.484904884
0.1,1,30,honeycomb,220,80,120,pla,100,121,14,1.5,533.9549723,540,530,1.905200627,540.4497115,547,538,1.266993418,547.4998303,555,545,1.544971541,557.4321756,565,554,2.032021581,553.577554,562,550,2.120775868
0.15,4,50,grid,220,60,60,abs,0,168,27,2.4,536.0441226,540,533,1.364486371,541.1585021,543,539,0.826888765,548.5130671,551,547,0.93559521,558.63876,562,556,1.193231686,554.8672927,559,552,1.32496245
0.15,7,10,honeycomb,225,65,60,abs,25,154,19,1.8,533.2147059,539,531,1.350478046,539.9464932,543,539,0.648188516,547.1145928,551,546,0.800845063,556.5966063,562,555,1.053039507,552.6852941,558,551,1.040338579
0.15,6,50,grid,230,70,60,abs,50,225,18,1.4,531.6486425,533,531,0.521804647,539.2126697,541,538,0.411974431,546.2132353,548,545,0.420787418,555.3665158,557,554,0.523082828,551.4262443,553,550,0.565628554
0.15,1,50,honeycomb,240,75,60,abs,75,289,9,0.6,533.0299808,535,531,0.713641613,540.1070257,542,539,0.535961121,547.0794207,549,546,0.559863583,556.7391108,560,555,0.807606224,552.7903609,555,551,0.789480133
0.15,7,80,grid,250,80,60,abs,100,326,13,0.7,534.5392534,537,533,0.983307856,540.7208145,543,539,0.672624239,548.0180995,550,546,0.752798007,557.9528281,561,556,0.917043885,554.0006787,557,552,0.925557957
0.15,3,80,honeycomb,200,60,60,pla,0,192,33,2.8,532.2086209,534,531,0.451707566,539.6039145,541,539,0.489572711,546.5664668,548,546,0.504415978,555.7947732,557,555,0.563838086,552.0091639,553,551,0.505710513
0.15,4,50,grid,205,65,60,pla,25,212,24,1.8,531.5400452,532,531,0.49842199,539.1645928,540,538,0.371138532,546.0506787,547,545,0.231889177,555.0498869,556,554,0.252378635,551.2371041,552,550,0.4255966
0.15,10,30,honeycomb,210,70,60,pla,50,168,26,2.1,531.0898292,532,530,0.288709554,539.0238715,540,538,0.172820249,545.8735151,547,545,0.334111428,554.7322095,556,554,0.443343561,550.9476185,552,550,0.240395354
0.15,6,40,grid,215,75,60,pla,75,172,22,2.3,530.9622172,532,530,0.201639547,538.9676471,540,538,0.187500291,545.5643665,546,545,0.495867691,554.3050905,555,554,0.460471793,550.6635747,551,550,0.472513055
0.15,1,10,honeycomb,220,80,60,pla,100,163,4,0.7,530.7748614,532,530,0.418238611,538.9046272,540,538,0.296429829,545.2871366,546,545,0.452451449,554.061998,555,553,0.243964279,550.3042199,551,550,0.460102289
0.2,4,80,grid,220,60,40,abs,0,212,35,3.3,530.4683788,531,530,0.499027326,538.813101,540,538,0.391011665,545.1153977,546,544,0.319873245,553.9639099,555,553,0.198286183,550.0773843,551,549,0.268482684
0.2,9,90,honeycomb,225,65,40,abs,25,276,34,3.1,530.2752574,531,530,0.446669148,538.7331146,540,538,0.443378959,545.0216088,546,544,0.160923704,553.8171739,555,553,0.38683837,549.9964928,551,549,0.145417782
0.2,7,30,grid,230,70,40,abs,50,298,28,2.2,530.1031791,531,530,0.304209858,538.615228,539,538,0.486568906,544.9769205,546,544,0.163856753,553.5390881,554,553,0.498497976,549.9090395,551,549,0.288355072
0.2,6,90,honeycomb,240,75,40,abs,75,360,28,1.6,530.0281706,531,529,0.171513212,538.5311687,539,538,0.499055799,544.9194479,546,544,0.274644518,553.3356715,554,553,0.472251375,549.7603801,550,549,0.426875628
0.2,3,80,grid,250,80,40,abs,100,357,21,1.1,530.0019233,531,529,0.105820271,538.455142,539,538,0.498011865,544.8387827,546,544,0.368059642,553.2295509,554,553,0.420567795,549.5772146,550,549,0.494029873
0.2,5,60,honeycomb,200,60,40,pla,0,321,28,2.7,529.987442,531,529,0.133539413,538.4089829,539,538,0.491673916,544.7576649,545,544,0.428520218,553.1601991,554,552,0.367119706,549.4557077,550,549,0.4980625
0.2,4,20,grid,205,65,40,pla,25,265,14,1.8,529.9683186,531,529,0.186426711,538.3637701,539,538,0.481110798,544.6905408,545,544,0.462296839,553.0810138,554,553,0.272871751,549.3592442,550,549,0.47980605
0.2,5,60,honeycomb,210,70,40,pla,50,278,30,3.2,529.9338235,531,529,0.251769788,538.3246606,539,538,0.468274398,544.6093891,545,544,0.487914896,553.0363122,554,552,0.190670445,549.2678733,550,549,0.442876263
0.2,7,40,grid,215,75,40,pla,75,244,29,3.2,529.8822398,531,529,0.323043363,538.3169683,539,538,0.465321287,544.5276018,545,544,0.499265799,553.0107466,554,552,0.131126457,549.1863122,550,549,0.389380439
0.2,3,60,honeycomb,220,80,40,pla,100,220,27,3.1,529.8343891,531,529,0.372360143,538.2799774,539,538,0.449013198,544.4634615,545,544,0.498691361,553.0012443,554,552,0.123578608,549.1332579,550,548,0.340205207
0.09,6,79,honeycomb,207,80,60,abs,75,270,17,0.8,531.8709055,534,531,0.739154647,538.9434702,539,536,0.550368669,546.9158925,551,546,0.629235727,555.4841553,558,554,1.323852545,552.317826,556,551,1.062580791
0.18,10,23,grid,201,60,60,pla,25,236,34,2.4,532.2352814,533,530,0.394807206,539.4495448,538,536,0.692092685,547.0349438,547,546,0.799431111,555.8197843,559,555,0.40516008,552.5242232,557,551,0.966753144
